# Thesis Device Words Configuration
# Format: term,canonical_device
# If term == canonical_device, it declares a canonical device
# If term != canonical_device, it's a synonym for the canonical device

# Core figurative / imagistic devices
sarcastic,sarcasm
sarcastically,sarcasm
colloquial,colloquialism
colloquialism,colloquialism
vernacular,vernacular
idiom,idiom
idiomatic,idiom
idiomatically,idiom
slang,jargon
technical language,jargon
first-person,focalization
second-person,focalization
third-person,focalization
directly address,direct address
directly addresses,direct address
directly addressing,direct address
address the reader,direct address
addresses the reader,direct address
addressing the reader,direct address
addresses the audience,direct address
addressing the audience,direct address
speaks to the reader,direct address
speaking to the reader,direct address
limited narrator,focalization
omniscient narrator,focalization
free indirect discourse,focalization
internal monologue,internal monologue
interior monologue,internal monologue
inner monologue,internal monologue
monologue,monologue
stream of consciousness,stream of consciousness
point of view,focalization
pov,focalization
structure shift,structure
framing device,organization
frame narrative,organization
circular structure,organization
linear structure,organization
nonlinear structure,organization
flashback,analepsis
flash-forward,prolepsis
chronological order,temporal
in medias res,temporal
declarative sentence,declarative
imperative sentence,imperative
interrogative sentence,interrogative
exclamatory sentence,exclamatory
fragment,syntax
catharsis,peripeteia
tragic flaw,hamartia
fate,hamartia
foil,character
foreshadowing,anticipation
foreboding,anticipation
climax,plot
anticlimax,bathos
refutation,rebuttal
counter,rebuttal
counterargument,counterclaim
counterarguments,counterclaim
humorous,humor
satire,humor
satirical,humor
satirically,humor
wit,humor
witty,humor
dramatic irony,irony
verbal irony,irony
situational irony,irony
appeal to emotion,appeal
appeal to logic,appeal
amplification,enumeration
storyline,plot
scenery,setting
background,setting
visuals,imagery
picture,imagery
pictures,imagery
hyperbolizing,hyperbole
hyperbolize,hyperbole
# General figurative / imagistic nominalizations
metaphorization,metaphor
similization,simile
symbolization,symbolism
allegorization,allegory
anthropomorphization,personification
oxymoronic contrast,oxymoron
synecdoches,synecdoche
synecdochical,synecdoche
synecdochically,synecdoche
metonymies,metonymy
metonymical,metonymy
metonymically,metonymy
metonymic substitution,metonymy

# Diction / syntax / craft nominalizations
tonal shift,tone
tonalization,tone
descriptional,description
classification system,classification
enumerative structure,enumeration
narrativization,narration

# Argument / logic nominalizations
definitional move,definition
comparison/contrast,comparison
contrastive move,contrast
analogization,analogy
recontextualization,analogy
allusiveness,allusion
repetition pattern,repetition
argumentation structure,argumentation
binarization,binary
polarization,binary
dichotomization,dichotomy
process analysis,process

# Sound / patterning
alliterative pattern,alliteration
assonantal pattern,assonance
consonantal pattern,consonance
rhythmic pattern,rhythm
metrical pattern,meter
enjambed line,enjambment
caesural break,caesura
onomatopoetic,onomatopoeia
onomatopoeias,onomatopoeia
onomatopoeically,onomatopoeia
sound word,onomatopoeia
sound words,onomatopoeia

# Euphemism / meiosis derivations
euphemisms,euphemism
euphemistically,euphemism
euphemistic language,euphemism
meiotic,meiosis
understatements,meiosis
understated,meiosis
understating,meiosis

# Epistrophe / zeugma derivations
epistrophic,epistrophe
zeugmatic,zeugma
zeugmatically,zeugma

# Synesthesia / pathetic fallacy derivations
synaesthesia,synesthesia
synaesthetic,synesthesia
synesthetic imagery,synesthesia
sensory crossover,synesthesia

# Apostrophe (rhetorical device) derivations
apostrophes,apostrophe
apostrophize,apostrophe
apostrophizes,apostrophe
apostrophizing,apostrophe

# Wordplay / semantic nominalizations
ambiguation,ambiguity
ironicization,irony
satirization,humor
sarcastic tone,sarcasm
idiomatic expression,idiom
vernacularization,vernacular
colloquialization,colloquialism

# Pronouns / focalization nominalizations
focalization shift,focalization
perspectivization,focalization

# Structure / organization nominalizations
structural shift,structure
temporal shift,temporal
spatial arrangement,spatial
chronologization,temporal
duration shift,duration
organizational structure,organization

# Sentential nominalizations
exclamatory construction,exclamatory
parenthetical insertion,parenthesis
conditional structure,conditional
modal construction,modal

# Narrative / tragic nominalizations
peripeteic turn,peripeteia
anagnoristic moment,anagnorisis
hubristic action,hubris
hamartic failure,hamartia

# Visual analysis derivations
chiaroscurist,chiaroscuro
light and shadow,chiaroscuro
light and dark,chiaroscuro
tenebrist,tenebrism
pointillistic,pointillism
pointillistically,pointillism
stipple,stippling
cross-hatched,cross-hatching
crosshatching,cross-hatching
crosshatch,cross-hatching
silhouettes,silhouette
triptychs,triptych
diptychs,diptych
bas-relief,bas-relief
bas relief,bas-relief
relief sculpture,bas-relief
contrapposto stance,contrapposto
lithographs,lithograph
lithographic,lithograph
woodcuts,woodcut
woodblock,woodcut
woodblock print,woodcut
pentimenti,pentimento
mise en scène,mise-en-scène
mise en scene,mise-en-scène
staging,mise-en-scène
montages,montage
closeup,close-up
close up,close-up
jump cuts,jump cut
iconographies,iconography
iconographically,iconography
trompe l'œil,trompe l'oeil
trompe loeil,trompe l'oeil
optical illusion,trompe l'oeil
atmospheric perspective,aerial perspective
color scheme,color palette
colour palette,color palette
colour scheme,color palette
nondiegetic,diegetic
non-diegetic sound,diegetic
diegetic sound,diegetic
